number,previousName,currentName,address
1A001,亚西亚大楼,"中国太平洋保险公司
 上海银行",中山东一路1号
1A002,上海总会,东风饭店,中山东一路2号
1A003,汇丰银行大楼,浦东发展银行,中山东一路10-12号
1A004,江海关,上海海关,中山东一路13号
1A005,汇中饭店,和平饭店南楼,中山东一路19号
1A006,沙逊大厦,和平饭店北楼,中山东一路20号
1A007,中国银行,中国银行上海分行,中山东一路23号
1A008,怡和银行,市对外贸易局,中山东一路27号
1A009,东方汇理银行,光大银行,中山东一路29号
1A010,大世界游乐场,大世界游乐场,西藏南路1号
1A011,八仙桥基督教青年会,青年会宾馆,西藏南路123号
1A012,南京大戏院,上海音乐厅,延安东路523号
1A013,四行储蓄会大楼,国际饭店,南京西路170号
1A014,西桥青年会,"上海市体育总会
 市体委",南京西路150号
1A015,华安人寿保险公司,金门大酒店,南京西路104号
1A016,大光明大戏院,大光明电影院,南京西路216号
1A017,跑马总会,上海美术馆,南京西路325号
1A018,基督教慕尔堂,沐恩堂,西藏中路316号
1A019,老、新永安公司,华侨商店、华联商厦,南京东路627-635号
1A020,先施公司,时装公司、东亚饭店,南京东路690号
1A021,新新公司,第一食品商店,南京东路720号
1A022,大新公司,第一百货商店,南京东路830号
1A023,大上海大戏院,大上海电影院,西藏中路520号
1A024,公共租界工部局,老市政府大楼,"江西中路215、209号；
 汉口路193、223、239号"
1A025,圣三一基督教堂,黄浦区政府礼堂,九江路201号
1A026,金城银行,交通银行,江西中路200号
1A027 (1E001),董家渡天主堂,董家渡天主堂,董家渡路175号
1C001,步高里,步高里,陕西南路287号
1C002,瑞金二路住宅,瑞金宾馆1号楼,瑞金二路18号
1C003,尚贤坊,尚贤坊,淮海中路50号
1C004,华懋公寓,锦江宾馆北楼,长乐路109号
1C005,峻岭公寓、茂名公寓,锦江宾馆中、西楼,茂名南路65-125号
1B001,美琪大戏院,美琪大戏院,江宁路66号
1B002,华业公寓,华业大楼,陕西北路175号
1B003,涌泉坊,涌泉坊,愚园路395弄1-24号
1B004,裕华新村,裕华新村,富民路182弄1-32
1B005,嘉道理爵士住宅,市少年宫,延安西路64号
1B006,宏恩医院,华东医院南楼,延安西路221号
1B007,马勒住宅,团市委、宾馆,陕西南路30号
1D001,徐家汇天主堂,徐家汇天主堂,徐家汇浦西路158号
1D002,国际礼拜堂,国际礼拜堂,衡山路58号
1D003,汾阳路79号住宅,工艺美术研究所,汾阳路79号
1D004,盛宣怀住宅,日本领事馆,淮海中路1517号
1D005,汾阳路45号,上海海关招待所,汾阳路45号
1D006,新康花园,新康花园,淮海中路1273号
1D007,修道院公寓,湖南街道办事处,复兴西路62号
1F001,百老会大厦,上海大厦,北苏州河路2号
1F003,上海邮政总局,上海市邮政局,北苏州河路250-276号
1F002,俄罗斯领事馆/苏联领事馆,俄罗斯领事馆,黄浦路20号
1F004,多伦路250号住宅,住宅,多伦路250号
1G001,旧上海特别市政府,体育学院办公楼,清源环路650号
1G002,上海市体育场,江湾体育场,国和路346号
1G003,杨树浦水厂,杨树浦自来水之水有限公司,杨树浦路830号（许昌路口）
1M001,淮阴路姚氏住宅,西郊宾馆4号楼,淮阴路200号
1M002,沙逊别墅,龙柏饭店,虹桥路2409号
1M003,孙科住宅,上海生物制品研究所办公楼,延安西路1262号
1M004,虹桥路2310号住宅,海南置地上海公司,虹桥路2310号
1M005,泰安路115弄花园里弄住宅,住宅,泰安路115弄1-8号
1M006,兴国路住宅,兴国宾馆1号楼,兴国路72号
1M007,王伯群住宅,长宁区少年宫,愚园路1136弄31号
1P001,佘山天主教堂,佘山天主教堂,松江县佘山
